stock,name,ticker,country,base_quarter,forecast_quarter,current_weight,predicted_change_%,predicted_weight,actual_weight,model,error,naive_error,low,high
KR7020150009,Iljin Materials Co Ltd,020150,KOR,Dec-22,Dec-23,0.015690971978915672,-11.12354998414111,0.014680923736174755,0.0,ridge_a0.1,0.014680923736174755,0.015690971978915672,0.009196786686287596,0.024825181827877917
CNE100002FD4,Shenwan Hongyuan Group Co Ltd Class A,000166,CHN,Dec-22,Dec-23,0.015650815940581913,-10.007704812316454,0.014827200107083913,0.01667033456553472,ridge_a0.1,-0.0018431344584508083,-0.0010195186249528088,0.009318734765530213,0.026194655493518553
KR7251270005,Netmarble Corp,251270,KOR,Dec-22,Dec-23,0.015630737921415033,-10.253833881794268,0.014767678290869942,0.016149386610361763,ridge_a0.1,-0.0013817083194918207,-0.0005186486889467296,0.00911542391174353,0.02563120093611512
PLBRE0000012,mBank SA,MBK,POL,Dec-22,Dec-23,0.015620698911831593,-9.570880549254307,0.01487050097856579,0.03096982435548638,ridge_a0.1,-0.01609932337692059,-0.015349125443654786,0.009496580468386116,0.027080257219729453
KR7001040005,CJ Corp Ordinary Shares,001040,KOR,Dec-22,Dec-23,0.015550425844747522,-8.807484959853332,0.014928573701089446,0.0,ridge_a0.1,0.014928573701089446,0.015550425844747522,0.009386421726720988,0.027683917111687287
CNE1000007Q1,PetroChina Co Ltd Class A,601857,CHN,Dec-22,Dec-23,0.015480152777663445,-9.059409775052888,0.014820056097861502,0.019009284568352092,ridge_a0.1,-0.004189228470490591,-0.003529131790688648,0.00893137562984962,0.02769886268848367
CNE1000002G3,China Communications Services Corp Ltd Class H,00552,CHN,Dec-22,Dec-23,0.015339606643495296,-10.490213721732891,0.014454450284307824,0.01656401865631575,ridge_a0.1,-0.002109568372007927,-0.0012244120128204559,0.009017337076002467,0.026537889161759063
CNE000001KK2,Focus Media Information Technology Co Ltd Class A,002027,CHN,Dec-22,Dec-23,0.015339606643495296,-9.511501581761351,0.014612497203623304,0.013831699789388184,ridge_a0.1,0.0007807974142351199,0.0015079068541071113,0.009417245404917503,0.026889932862991163
NL0015000AU7,Pepco Group NV,PCO,GBR,Dec-22,Dec-23,0.015319528624328416,0.0,0.01612732132091779,0.016808545247519385,naive (no feature history),-0.0006812239266015957,-0.0014890166231909686,0.0098289940152957,0.029131774481038052
CNE000001NN0,Air China Ltd Class A,601111,CHN,Dec-22,Dec-23,0.015309489614744976,-9.191593152957962,0.01463536659692588,0.012524014105994836,ridge_a0.1,0.0021113524909310444,0.00278547550875014,0.008954121269990916,0.026840212630453216
